site,word_count,grade_level
s,15,4.4
s,22,8.3
s,45,7.7
s,97,11.6
s,9,3.3
s,1,-3.5
s,175,9.5
s,14,0.1
s,8,2.9
s,41,19.3
s,45,5.6
s,10,7.2
s,8,4.1
s,5,0.5
s,11,5.2
s,16,8.8
s,13,8.4
s,10,0.5
s,21,11.5
s,15,2.7
s,14,4.0
s,36,4.4
s,4,3.7
s,32,6.3
s,3,9.2
s,168,11.8
s,20,6.0
s,260,8.9
s,49,11.7
s,123,15.7
s,18,2.1
s,3,0.9
s,7,2.5
s,11,6.6
s,7,-1.2
s,9,0.9
s,29,9.9
s,23,11.1
s,87,9.4
s,234,11.2
s,31,5.8
s,67,6.3
s,4,1.3
s,100,8.9
s,6,2.1
s,56,15.4
s,92,15.3
s,30,3.7
s,43,6.3
s,38,14.6
s,4,3.7
s,8,8.8
s,83,17.1
s,220,9.9
s,31,3.8
s,31,5.8
s,9,4.4
s,34,2.4
s,8,6.4
s,18,8.0
s,124,11.8
s,23,11.3
s,29,12.2
s,195,11.6
s,124,11.8
s,27,5.0
s,21,1.8
s,68,7.6
s,22,11.9
s,19,8.3
s,14,8.8
s,111,11.8
s,87,14.6
s,93,9.4
s,92,9.3
s,24,10.3
s,8,0.5
s,137,12.8
s,22,7.6
s,10,9.6
s,129,10.5
s,1,20.2
s,90,9.7
s,6,-1.5
s,7,0.1
s,194,9.0
s,11,4.0
s,2,-3.1
s,17,0.7
s,14,7.6
s,19,8.3
s,34,13.0
s,22,4.0
s,48,8.4
s,102,17.7
s,42,6.8
s,548,14.0
s,110,9.5
s,51,12.1
s,360,8.2
s,132,13.6
s,71,10.2
s,68,7.6
s,146,10.3
s,77,5.2
s,51,14.4
s,190,12.6
s,42,6.8
s,27,5.0
s,11,2.9
s,279,12.0
s,140,8.2
s,73,10.4
s,60,7.6
s,129,9.3
s,23,3.1
s,3,17.4
s,23,14.6
s,49,12.8
s,83,12.9
s,106,6.8
s,36,16.2
s,30,15.0
s,162,15.9
s,26,9.5
s,38,9.5
s,82,7.3
s,22,9.5
s,62,14.2
s,33,7.4
s,61,5.1
s,79,8.3
s,27,13.8
s,290,12.4
s,132,12.4
s,69,10.0
s,24,6.8
