site,date,word_count,grade_level,comment_count,likes
slowboring,2020-11-13,2988,10.5,243,151
slowboring,2020-11-18,3168,12.7,153,69
slowboring,2020-11-24,2661,10.7,107,56
slowboring,2020-11-16,2654,10.7,330,178
slowboring,2020-11-17,1963,14.1,228,141
slowboring,2020-11-19,2697,10.8,308,164
slowboring,2020-11-20,1850,11.2,143,77
slowboring,2020-12-02,1741,10.8,198,100
slowboring,2021-01-05,2367,11.6,312,143
slowboring,2020-11-23,2885,10.7,124,77
slowboring,2020-11-25,3174,10.1,404,147
slowboring,2020-11-24,2542,10.6,83,36
slowboring,2020-11-26,628,12.6,81,67
slowboring,2020-12-01,2776,10.8,282,133
slowboring,2020-11-30,1815,11.8,91,40
slowboring,2020-11-27,2061,10.3,126,43
slowboring,2020-11-30,433,16.2,48,48
slowboring,2020-12-03,3104,10.4,158,82
slowboring,2020-12-07,3236,10.7,267,159
slowboring,2020-12-04,1795,10.2,312,63
slowboring,2020-12-15,2204,11.8,398,157
slowboring,2020-12-08,1463,10.3,93,41
slowboring,2020-12-10,1959,13.0,119,74
slowboring,2020-12-09,2007,12.8,188,114
slowboring,2020-12-11,2844,12.5,91,72
slowboring,2020-12-14,2903,10.2,109,122
slowboring,2020-12-16,2437,11.2,187,228
slowboring,2020-12-17,3068,10.3,299,192
slowboring,2020-12-22,2178,10.5,135,54
slowboring,2020-12-16,852,11.6,247,162
slowboring,2020-12-18,2245,11.6,196,212
slowboring,2020-12-20,1479,9.1,151,177
slowboring,2020-12-21,726,11.9,189,165
slowboring,2020-12-23,3162,12.1,156,123
slowboring,2020-12-24,2538,11.6,212,120
slowboring,2020-12-28,1439,10.2,209,206
slowboring,2020-12-29,2156,12.1,318,139
slowboring,2021-01-15,2633,10.9,280,130
slowboring,2020-12-30,2666,10.9,184,111
slowboring,2020-12-31,2243,12.8,342,201
slowboring,2021-01-04,2399,12.2,220,124
slowboring,2021-01-12,2975,12.1,279,224
slowboring,2021-01-06,2916,11.7,141,131
slowboring,2021-01-08,3692,11.8,342,203
slowboring,2021-01-07,1829,9.9,247,123
slowboring,2021-01-06,1017,9.5,362,156
slowboring,2021-01-14,3262,13.2,303,152
slowboring,2021-01-11,2177,10.8,296,220
slowboring,2021-01-19,3088,9.4,249,163
slowboring,2021-01-13,2565,13.6,271,183
slowboring,2021-01-15,1972,10.5,412,310
slowboring,2021-01-18,717,10.8,107,123
slowboring,2021-01-14,1151,11.1,135,88
slowboring,2021-01-20,3080,10.2,256,94
slowboring,2021-01-16,457,11.5,73,69
slowboring,2021-01-21,2363,10.2,318,161
slowboring,2021-01-23,1256,9.8,257,176
slowboring,2021-01-22,2367,10.1,332,158
slowboring,2021-01-25,3481,13.3,390,159
slowboring,2021-01-26,3756,11.5,390,146
slowboring,2021-01-27,2767,11.7,265,172
slowboring,2021-01-29,2156,10.4,278,177
slowboring,2021-01-28,1702,9.9,486,370
slowboring,2021-02-01,2886,11.5,472,150
slowboring,2021-01-30,1411,10.7,311,126
slowboring,2021-02-02,1881,9.9,277,214
slowboring,2021-02-03,2725,12.1,188,92
slowboring,2021-02-04,1465,11.5,188,130
slowboring,2021-02-05,2791,13.9,383,169
slowboring,2021-02-16,2331,11.7,180,165
slowboring,2021-02-06,1282,10.0,208,99
slowboring,2021-02-09,3725,10.3,158,81
slowboring,2021-02-08,2027,11.9,177,178
slowboring,2021-02-10,3678,12.3,171,88
slowboring,2021-02-15,2972,11.8,359,224
slowboring,2021-02-11,1775,10.7,55,46
slowboring,2021-02-12,1938,13.2,378,177
slowboring,2021-02-13,1128,9.7,181,94
slowboring,2021-02-17,3020,11.7,375,156
slowboring,2021-02-14,3868,12.5,458,291
slowboring,2021-02-20,2109,11.9,253,150
slowboring,2021-02-18,2331,12.4,371,182
slowboring,2021-02-19,2096,10.3,219,129
slowboring,2021-02-22,1840,10.8,275,146
slowboring,2021-02-21,967,9.7,180,122
slowboring,2021-02-24,2306,10.7,245,154
slowboring,2021-04-10,1414,12.1,75,56
slowboring,2021-02-23,2764,11.1,256,132
slowboring,2021-02-26,2144,8.6,252,183
slowboring,2021-02-25,2271,11.7,212,114
slowboring,2021-03-01,2975,11.0,214,116
slowboring,2021-02-27,580,13.2,232,78
slowboring,2021-03-02,2618,8.5,86,133
slowboring,2021-03-04,3818,12.7,192,82
slowboring,2021-03-03,3773,11.4,440,242
slowboring,2021-03-09,4349,11.0,234,96
slowboring,2021-03-05,2228,11.2,247,154
slowboring,2021-03-08,2505,11.1,367,137
slowboring,2021-03-06,897,9.8,176,120
slowboring,2021-03-10,3355,9.3,456,112
slowboring,2021-03-11,2313,8.7,162,80
slowboring,2021-03-12,2262,9.6,164,150
slowboring,2021-03-15,1852,8.3,235,98
slowboring,2021-03-13,1552,10.7,195,102
slowboring,2021-03-16,3142,9.9,428,264
slowboring,2021-03-18,2954,10.3,224,44
slowboring,2021-03-17,2269,10.6,134,101
slowboring,2021-03-19,2413,10.0,111,97
slowboring,2021-03-20,1082,10.2,413,128
slowboring,2021-03-22,2245,11.0,253,199
slowboring,2021-03-25,3091,11.1,407,248
slowboring,2021-03-23,3434,8.7,207,130
slowboring,2021-04-11,2860,11.4,116,58
slowboring,2021-03-24,2585,10.5,438,98
slowboring,2021-03-29,1798,7.6,271,76
slowboring,2021-03-26,2005,10.7,144,91
slowboring,2021-03-27,1506,10.6,248,126
slowboring,2021-03-30,1807,10.3,317,174
